bucket_left_ts,close,ema_21,adx_14,rvol_tod_20
2025-01-03 00:00:00+00:00,96746.7425,96454.9988812,40.4948125239,0.291101335872
2025-01-03 01:00:00+00:00,96910.9775,96496.4514829,38.5090060965,0.00370721419939
2025-01-03 02:00:00+00:00,96930.314,96535.8935299,37.4982567093,0.15896336727
2025-01-03 03:00:00+00:00,97023.4165,96580.2137999,36.559703707,0.0756731490769
2025-01-03 04:00:00+00:00,96728.745,96593.7166363,35.3940656877,0.739318844688
2025-01-03 05:00:00+00:00,96693.125,96602.7537603,33.5547874052,0.0754487981455
2025-01-03 06:00:00+00:00,96470.13,96590.6970548,32.1806832146,0.540436043579
2025-01-03 07:00:00+00:00,96254.1315,96560.1001862,30.0413226781,7.53073785624
2025-01-03 08:00:00+00:00,96049.0295,96513.6392147,28.3691805605,0.089165272222
2025-01-03 09:00:00+00:00,96544.1865,96516.4162406,26.5336501139,0.55082389055
2025-01-03 10:00:00+00:00,96422.3365,96507.8635369,24.829228985,0.32917082447
2025-01-03 11:00:00+00:00,96667.3835,96522.3653518,23.6227407416,0.0211569042542
2025-01-03 12:00:00+00:00,96639.6535,96533.0279107,22.9164840167,0.455449960464
2025-01-03 13:00:00+00:00,96474.3,96527.6890097,21.6039931816,0.0372459796668
2025-01-03 14:00:00+00:00,96956.8725,96566.7056907,21.7689258521,1.53473909455
2025-01-03 15:00:00+00:00,97459.3265,96647.853037,22.578738571,9.86702776352
2025-01-03 16:00:00+00:00,97849.913,96757.1312154,24.4689737173,0.185642731031
2025-01-03 17:00:00+00:00,97999.8745,96870.1078777,26.2241920674,0.325849560946
2025-01-03 18:00:00+00:00,98493.3975,97017.6796615,28.3195328694,0.0598787291927
2025-01-03 19:00:00+00:00,98544.114,97156.4464195,30.537867645,2.35979746714
2025-01-03 20:00:00+00:00,98314.493,97261.7233814,31.8599096377,4.06336784641
2025-01-03 21:00:00+00:00,98236.5,97350.3394376,32.8231524929,0.0134319244357
2025-01-03 22:00:00+00:00,98261.06,97433.132216,33.8047561731,0.00722407991042
2025-01-03 23:00:00+00:00,98119.2565,97495.5071509,33.912347429,1.17581729901
2025-01-04 00:00:00+00:00,97949.075,97536.7405918,33.6009474679,0.0107901026684
2025-01-04 01:00:00+00:00,98020.765,97580.7428107,32.8359046245,0.275770419219
2025-01-04 02:00:00+00:00,98257.702,97642.2845552,32.449714915,0.000857749677075
2025-01-04 03:00:00+00:00,98174.078,97690.6294138,32.0941600222,0.00274043183125
2025-01-04 04:00:00+00:00,97946.667,97713.905558,31.2213884519,2.25334986493
2025-01-04 05:00:00+00:00,98130.9775,97751.8211891,30.6498230836,0.0213629335902
2025-01-04 06:00:00+00:00,98100.515,97783.5206264,30.1190838131,0.0714161944616
2025-01-04 07:00:00+00:00,98224.423,97823.6026604,30.1115311281,0.138287853191
2025-01-04 08:00:00+00:00,97887.285,97829.391964,29.4345583546,0.0404060803138
2025-01-04 09:00:00+00:00,97663.7745,97814.3358309,27.6610650217,0.00590084884914
2025-01-04 10:00:00+00:00,97771.415,97810.4339372,26.014249784,0.0153292633405
2025-01-04 11:00:00+00:00,97838.675,97813.0013065,24.7345998878,0.117024416835
2025-01-04 12:00:00+00:00,97888.2135,97819.8387787,23.6795005405,0.0256475868251
