camp-m1-2024-08|2024-08-01T00:00:00Z|2024-09-01T00:00:00Z
camp-m2|2024-09-01T00:00:00Z|2024-10-01T00:00:00Z
camp-m3|2024-10-01T00:00:00Z|2024-11-01T00:00:00Z
camp-m4|2024-11-01T00:00:00Z|2024-12-01T00:00:00Z
camp-m5|2024-12-01T00:00:00Z|2025-01-01T00:00:00Z
camp-m6|2025-01-01T00:00:00Z|2025-02-01T00:00:00Z
camp-m7|2025-02-01T00:00:00Z|2025-03-01T00:00:00Z
camp-m8|2025-03-01T00:00:00Z|2025-04-01T00:00:00Z
camp-m9|2025-04-01T00:00:00Z|2025-05-01T00:00:00Z
camp-m10|2025-05-01T00:00:00Z|2025-06-01T00:00:00Z
camp-m11|2025-06-01T00:00:00Z|2025-07-01T00:00:00Z
camp-h12a|2024-08-01T00:00:00Z|2024-08-16T00:00:00Z
camp-h12b|2024-08-16T00:00:00Z|2024-09-01T00:00:00Z
camp-h10a|2024-10-01T00:00:00Z|2024-10-16T00:00:00Z
camp-h10b|2024-10-16T00:00:00Z|2024-11-01T00:00:00Z
camp-h12c|2024-12-01T00:00:00Z|2024-12-16T00:00:00Z
camp-h12d|2024-12-16T00:00:00Z|2025-01-01T00:00:00Z
camp-h02a|2025-02-01T00:00:00Z|2025-02-15T00:00:00Z
camp-h02b|2025-02-15T00:00:00Z|2025-03-01T00:00:00Z
camp-h04a|2025-04-01T00:00:00Z|2025-04-16T00:00:00Z
camp-h04b|2025-04-16T00:00:00Z|2025-05-01T00:00:00Z
camp-h06a|2025-06-01T00:00:00Z|2025-06-16T00:00:00Z
camp-h06b|2025-06-16T00:00:00Z|2025-07-01T00:00:00Z
